sample,fastq_1,fastq_2,expected_cells,sex,age,site,SRR_id
old_female_1,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440580_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440580_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R2.fastq.gz,10000,F,old,forearm,SRR15440580
young_female_1,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440583_scRNA-Seq_of_Homo_Sapiens_young_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440583_scRNA-Seq_of_Homo_Sapiens_young_female_skin_R2.fastq.gz,10000,F,young,forearm,SRR15440583
old_female_2,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440582_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440582_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R2.fastq.gz,10000,F,old,forearm,SRR15440582
young_female_2,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440581_scRNA-Seq_of_Homo_Sapiens_young_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440581_scRNA-Seq_of_Homo_Sapiens_young_female_skin_R2.fastq.gz,10000,F,young,forearm,SRR15440581
old_female_3,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440585_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440585_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R2.fastq.gz,10000,F,old,forearm,SRR15440585
old_female_4,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440584_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440584_scRNA-Seq_of_Homo_Sapiens_old_female_skin_R2.fastq.gz,10000,F,old,forearm,SRR15440584
young_female_3,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440586_scRNA-Seq_of_Homo_Sapiens_young_female_skin_R1.fastq.gz,/well/fullerton/projects/training/sc_rnaseq/ahlers_10x/fastq/SRR15440586_scRNA-Seq_of_Homo_Sapiens_young_female_skin_R2.fastq.gz,10000,F,young,forearm,SRR15440586
